VehicleSpeed[km/h],EngineFuelRate[L/h]
65.42200305,19.10000038
65.66899707,15.85000038
65.77499988,12.64999962
65.58199908,8.300000191
65.89099719,5.400000095
66.09300067,4.800000191
65.83900287,3.700000048
64.93199756,2.549999952
65.17899921,1.549999952
64.93900134,3.75
64.95500018,3.75
64.72099902,4.449999809
64.82700183,5.050000191
65.1959975,5.849999905
65.20799854,6.0
65.16100146,5.75
64.64099719,6.949999809
65.58000018,4.800000191
65.41699817,5.300000191
64.93299701,6.099999905
65.38999774,5.300000191
65.32400348,6.349999905
65.3209975,5.75
65.67400195,7.0
65.33000018,7.0
65.05799701,7.449999809
65.28400256,7.449999809
65.33099963,6.050000191
65.40700366,5.599999905
65.37499835,4.849999905
65.34699847,4.199999809
65.27000262,4.800000191
65.70400073,3.0
65.27100208,2.900000095
65.30399921,3.299999952
65.04700305,3.5
64.90800311,4.900000095
64.37699725,7.0
64.68099811,10.55000019
64.52499988,11.10000038
64.77400043,12.19999981
64.82600238,13.5
64.95999744,12.94999981
64.91499927,13.30000019
64.92799976,13.10000038
65.20400073,12.60000038
64.97099902,11.60000038
65.30100085,10.35000038
65.45999744,10.25
65.55799701,8.699999809
65.13599994,8.600000381
65.19900348,8.050000191
65.04499652,8.350000381
65.10400226,9.899999619
64.97199847,9.25
64.70500018,12.25
64.67600085,12.5
64.77300098,13.25
64.58499744,16.5
64.71900012,16.95000076
64.83000018,17.14999962
64.95300128,17.20000076
64.9250014,17.0
65.24600055,16.95000076
65.04700305,17.14999962
65.11399677,16.75
64.9910033,16.14999962
65.29199817,15.14999962
65.39099719,13.60000038
65.22199847,11.80000019
64.91899707,11.0
65.14800098,11.60000038
64.50400378,13.19999981
64.78400256,15.35000038
64.07900073,17.75
63.98200061,19.95000076
64.27000262,21.25
64.36399677,22.60000038
64.36399677,23.79999924
64.73000171,23.0
64.89900043,24.20000076
64.76599719,22.89999962
64.91300037,24.0
64.92899921,22.54999924
64.80200031,22.39999962
