time[s],VehicleWeight[ton],VehicleSpeed[km/h],EngineSpeed[rpm],grad[%]
402,22.5,44.60800171,1008.75,0.807639711
403,22.5,44.20000076,1008.25,0
404,22.5,44.69800186,1007,0
405,22.5,44.25899887,1011,-0.80938289
406,22.5,44.68600082,1006,0
407,22.5,44.1609993,1011.75,0
408,22.5,44.13800049,1012.25,-0.815414382
409,22.5,44.55099869,1005,0
410,22.5,44.11700058,1007.5,1.62404193
411,22.5,44.62900162,1010.75,0
412,22.5,44.26599884,1006.75,0
413,22.5,44.12200165,1009.5,0
414,22.5,44.43299866,1013,0.813049381
415,22.5,44.4070015,1013.75,-1.620889939
416,22.5,44.40499878,1003,0
417,22.5,44.23199844,1010,-1.62460222
418,22.5,44.48899841,1006.75,-0.811535911
419,22.5,44.52099991,1006.5,0
420,22.5,44.13800049,1009.25,0
421,22.5,43.5929985,1008.25,0.820693664
422,22.5,43.67300034,1016.5,1.650125643
423,22.5,43.96699905,1007.75,0
424,22.5,44.54499817,1013,-1.626896545
425,22.5,44.93000031,1020.25,-2.414083724
426,22.5,45.03499985,1022.75,-0.80031428
427,22.5,44.31999969,1008.25,-0.805770114
428,22.5,43.74900055,1009.5,-0.817543913
429,22.5,43.82400131,993.5,-0.822166497
430,22.5,43.70800018,994,-0.822559442
431,22.5,43.42499924,993,0
432,22.5,43.70899963,993.5,0
433,22.5,43.85400009,998.75,0
434,22.5,43.97000122,999.5,0
435,22.5,43.86899948,1004.5,0
436,22.5,43.80699921,1008.75,-1.64240915
437,22.5,44.15100098,1008.25,0
438,22.5,44.78300095,1014.5,0
439,22.5,44.5340004,1008.25,0
440,22.5,44.0320015,1013.25,0.812952254
441,22.5,44.20399857,1014.75,0
442,22.5,44.59500122,1012.25,-1.621642206
443,22.5,44.375,1006.5,0
444,22.5,44.19200134,1011,-0.81294308
445,22.5,43.95800018,1007.25,-0.816788773
446,22.5,44.19100189,1002.75,0
447,22.5,44.11899948,1007.5,0
448,22.5,44.13100052,1011.5,-0.815863248
449,22.5,44.01300049,1006.5,-0.816844369
450,22.5,44.00699997,1010,-0.81799903
451,22.5,44.40299988,1010.5,0
452,22.5,44.24200058,1010,0
453,22.5,44.19900131,1009.5,0
454,22.5,44.22499847,1013.25,0.814261685
455,22.5,44.35100174,1013,0
456,22.5,44.26699829,1011,0.81247524
457,22.5,44.14799881,1015.5,0
458,22.5,44.69200134,1013.5,0
459,22.5,44.10200119,1008.5,0.810864806
460,22.5,44.35499954,1007.25,-0.813954023
461,22.5,44.09400177,1010,-0.81402763
462,22.5,42.94200134,953,0
463,22.5,38.72900009,872,0
464,22.5,33.85699844,1080.5,0
465,22.5,26.65699959,848.5,1.189806214
466,22.5,18.09399986,573.25,-1.60890107
467,22.5,10.54599953,680.75,0
468,22.5,4.342000008,524,9.6722103
469,22.5,0.039999999,501.25,0
470,22.5,0.101999998,512,0
471,22.5,0.086999997,494,0
472,22.5,0.186000004,499,0
473,22.5,0.067000002,499.75,0
474,22.5,0.077,499.5,0
475,22.5,0.34799999,499,0
476,22.5,0.116999999,499.75,0
477,22.5,0.123000003,500.5,0
478,22.5,0.135000005,499.75,0
479,22.5,0.112999998,499.75,0
480,22.5,0.134000003,499.5,0
481,22.5,0.210999995,499.25,0
482,22.5,0.081,500,0
483,22.5,0.068999998,500,0
484,22.5,0.180999994,500.25,0
485,22.5,0.134000003,499.5,0
486,22.5,0.224999994,499.75,0
487,22.5,0.115999997,499.75,0
488,22.5,0.068999998,499.75,0
489,22.5,0.120999999,499.5,0
490,22.5,0.187000006,499.75,0
491,22.5,0.123999998,500,0
492,22.5,0.054000001,500,0
493,22.5,0.224000007,500,0
494,22.5,0.451000005,500.25,0
495,22.5,0.763000011,500,0
496,22.5,0.469000012,500,0
497,22.5,0.151999995,499,0
498,22.5,0.259000003,500.5,0
499,22.5,0.078000002,499.75,0
500,22.5,0.105999999,500.25,0
501,22.5,0.150999993,500,0
502,22.5,0.145999998,500,0
503,22.5,0.101000004,500,0
504,22.5,0.125,499.75,0
505,22.5,0.056000002,500.5,0
506,22.5,0.264999986,500.25,0
507,22.5,0.119000003,499.75,0
508,22.5,0.089000002,500.5,0
509,22.5,0.192000002,500.25,0
510,22.5,0.178000003,500,0
